time,body_index,body_name,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z
0.06500000,3,body4,-1.24950974,-2.16421435,-0.03248927,0.01508057,0.02612032,-0.49950833
0.07000000,0,body1,0.00026234,0.00045438,-0.00009289,0.00749057,0.01297405,-0.00396555
0.07000000,1,body2,2.49782048,0.00045037,-0.06998347,-0.06204614,0.01274646,-0.99929292
0.07000000,2,body3,-1.24852021,2.16340117,-0.06998347,0.04206182,-0.04736030,-0.99929292
0.07000000,3,body4,-1.24943144,-2.16407873,-0.03498662,0.01623903,0.02812682,-0.49943138
0.07500000,0,body1,0.00030112,0.00052156,-0.00011415,0.00802410,0.01389815,-0.00454587
0.07500000,1,body2,2.49749934,0.00051628,-0.07497967,-0.06640723,0.01361908,-0.99918893
0.07500000,2,body3,-1.24830256,2.16315602,-0.07497967,0.04499809,-0.05070081,-0.99918893
0.07500000,3,body4,-1.24934735,-2.16393308,-0.03748358,0.01739710,0.03013266,-0.49934921
0.08000000,0,body1,0.00034258,0.00059336,-0.00013841,0.00855731,0.01482170,-0.00516443
0.08000000,1,body2,2.49715643,0.00058655,-0.07997534,-0.07075404,0.01448412,-0.99907793
0.08000000,2,body3,-1.24807025,2.16289418,-0.07997534,0.04792063,-0.05403274,-0.99907793
0.08000000,3,body4,-1.24925747,-2.16377741,-0.03998011,0.01855475,0.03213777,-0.49926192
0.08500000,0,body1,0.00038669,0.00066978,-0.00016586,0.00909018,0.01574466,-0.00582087
0.08500000,1,body2,2.49679183,0.00066111,-0.08497044,-0.07508572,0.01534115,-0.99895998
0.08500000,2,body3,-1.24782337,2.16261571,-0.08497044,0.05082868,-0.05735557,-0.99895998
0.08500000,3,body4,-1.24916180,-2.16361171,-0.04247619,0.01971195,0.03414209,-0.49916960
0.09000000,0,body1,0.00043348,0.00075080,-0.00019668,0.00962269,0.01666699,-0.00651484
0.09000000,1,body2,2.49640560,0.00073994,-0.08996493,-0.07940145,0.01618975,-0.99883510
0.09000000,2,body3,-1.24756199,2.16232064,-0.08996493,0.05372146,-0.06066879,-0.99883510
0.09000000,3,body4,-1.24906035,-2.16343599,-0.04497179,0.02086864,0.03614555,-0.49907238
0.09500000,0,body1,0.00048292,0.00083644,-0.00023107,0.01015481,0.01758865,-0.00724596
0.09500000,1,body2,2.49599784,0.00082300,-0.09495878,-0.08370043,0.01702954,-0.99870333
0.09500000,2,body3,-1.24728619,2.16200903,-0.09495878,0.05659823,-0.06397193,-0.99870333
0.09500000,3,body4,-1.24895312,-2.16325025,-0.04746690,0.02202479,0.03814806,-0.49897035
0.10000000,0,body1,0.00053502,0.00092669,-0.00026920,0.01068653,0.01850961,-0.00801383
0.10000000,1,body2,2.49556863,0.00091022,-0.09995195,-0.08798189,0.01786013,-0.99856472
0.10000000,2,body3,-1.24699604,2.16168094,-0.09995195,0.05945827,-0.06726448,-0.99856472
0.10000000,3,body4,-1.24884010,-2.16305451,-0.04996149,0.02318036,0.04014956,-0.49886365
0.10500000,0,body1,0.00058979,0.00102154,-0.00031126,0.01121781,0.01942981,-0.00881804
0.10500000,1,body2,2.49511805,0.00100158,-0.10494442,-0.09224507,0.01868114,-0.99841930
0.10500000,2,body3,-1.24669163,2.16133641,-0.10494442,0.06230088,-0.07054600,-0.99841930
0.10500000,3,body4,-1.24872131,-2.16284876,-0.05245553,0.02433529,0.04214995,-0.49875239
0.11000000,0,body1,0.00064720,0.00112099,-0.00035744,0.01174863,0.02034922,-0.00965816
0.11000000,1,body2,2.49464621,0.00109702,-0.10993614,-0.09648925,0.01949224,-0.99826712
0.11000000,2,body3,-1.24637306,2.16097550,-0.10993614,0.06512540,-0.07381602,-0.99826712
0.11000000,3,body4,-1.24859675,-2.16263301,-0.05494901,0.02548953,0.04414916,-0.49863668
0.11500000,0,body1,0.00070727,0.00122503,-0.00040791,0.01227897,0.02126780,-0.01053377
0.11500000,1,body2,2.49415319,0.00119649,-0.11492708,-0.10071371,0.02029309,-0.99810822
0.11500000,2,body3,-1.24604041,2.16059827,-0.11492708,0.06793119,-0.07707409,-0.99810822
0.11500000,3,body4,-1.24846642,-2.16240727,-0.05744189,0.02664304,0.04614710,-0.49851668
0.12000000,0,body1,0.00076999,0.00133366,-0.00046284,0.01280880,0.02218550,-0.01144440
0.12000000,1,body2,2.49363910,0.00129993,-0.11991721,-0.10491778,0.02108337,-0.99794265
0.12000000,2,body3,-1.24569378,2.16020478,-0.11991721,0.07071762,-0.08031978,-0.99794265
0.12000000,3,body4,-1.24833032,-2.16217154,-0.05993417,0.02779576,0.04814367,-0.49839249
0.12500000,0,body1,0.00083536,0.00144688,-0.00052241,0.01333811,0.02310228,-0.01238960
0.12500000,1,body2,2.49310405,0.00140730,-0.12490649,-0.10910080,0.02186277,-0.99777047
0.12500000,2,body3,-1.24533327,2.15979509,-0.12490649,0.07348412,-0.08355268,-0.99777047
0.12500000,3,body4,-1.24818846,-2.16192583,-0.06242581,0.02894763,0.05013877,-0.49826427
0.13000000,0,body1,0.00090337,0.00156468,-0.00058679,0.01386686,0.02401810,-0.01336889
0.13000000,1,body2,2.49254813,0.00151854,-0.12989490,-0.11326214,0.02263102,-0.99759171
0.13000000,2,body3,-1.24495897,2.15936927,-0.12989490,0.07623011,-0.08677238,-0.99759171
0.13000000,3,body4,-1.24804085,-2.16167016,-0.06491680,0.03009860,0.05213231,-0.49813213
0.13500000,0,body1,0.00097403,0.00168706,-0.00065615,0.01439503,0.02493292,-0.01438178
